id,rating,votes
1776,6.8,59197.0
1777,6.6,25850.0
1778,5.5,151127.0
1780,7.7,69324.0
1781,5.2,11448.0
1783,5.1,1147.0
1786,6.5,287078.0
1789,6.1,742.0
1790,7.6,309672.0
1792,7.0,17.0
1794,8.1,73714.0
1797,7.0,1126.0
1798,7.2,371353.0
1802,7.4,72852.0
1805,7.4,31679.0
1806,6.7,120911.0
1808,6.1,9079.0
1809,6.8,315194.0
1812,6.8,38153.0
1817,6.6,245266.0
1820,6.4,15521.0
1821,7.9,307050.0
1826,5.0,2974.0
1827,7.1,125420.0
1828,6.9,7298.0
1830,7.3,25014.0
1831,7.6,556682.0
1832,6.7,95811.0
1833,6.9,173929.0
1834,5.8,69865.0
1835,5.4,1993.0
1836,7.0,18142.0
1840,7.2,113433.0
1845,8.1,68510.0
1848,3.4,20681.0
1850,7.5,18680.0
1853,7.2,338123.0
1856,5.8,42408.0
1860,7.5,5753.0
1861,6.5,185.0
1862,7.3,11300.0
1863,7.6,217069.0
1864,6.2,1025.0
1865,7.1,14836.0
1867,7.3,27602.0
1869,6.3,7084.0
1872,7.2,162990.0
1873,6.0,102570.0
1874,7.2,5211.0
1877,7.6,252700.0
1878,6.9,37291.0
1880,7.0,23255.0
1884,6.4,6119.0
1885,7.4,69390.0
1886,6.7,1514.0
1887,7.7,58353.0
1888,7.5,102993.0
1889,7.5,135076.0
1891,7.4,75019.0
1892,7.0,35694.0
1893,6.5,837.0
1896,6.7,40437.0
1897,6.3,3859.0
1898,6.5,29160.0
1899,6.0,371970.0
1900,6.3,34362.0
1904,5.8,24459.0
1905,4.8,33753.0
1909,7.2,11183.0
1910,8.0,8429.0
1911,6.5,57499.0
1913,5.3,11186.0
1914,6.7,6291.0
1915,6.8,416633.0
1916,5.5,77873.0
1918,6.6,943.0
1919,6.7,253034.0
1921,8.2,1721150.0
1922,7.1,244521.0
1924,7.5,61642.0
1925,7.3,226389.0
1926,7.8,15115.0
1927,6.9,41463.0
1928,5.3,9680.0
1931,7.4,4720.0
1932,3.6,61857.0
1933,8.1,71482.0
1937,6.3,7924.0
1938,6.6,17901.0
1940,6.1,78645.0
1941,7.8,189366.0
1944,6.2,27397.0
1945,6.9,38281.0
1953,7.5,1649.0
1955,6.5,5954.0
1956,7.5,30951.0
1958,8.1,227980.0
1961,6.9,13544.0
1963,7.5,7884.0
1964,7.4,10608.0
1965,7.2,3518.0
1966,7.2,32171.0
1967,6.4,37415.0
1973,5.3,6810.0
1974,7.0,105896.0
1975,7.4,53481.0
1976,7.5,5869.0
1978,4.3,2146.0
1983,3.8,6411.0
1984,7.3,128739.0
1986,5.7,8835.0
1987,7.8,44842.0
1988,6.8,49715.0
1989,5.7,67222.0
1990,6.8,70759.0
1992,8.8,1066.0
1993,7.6,262821.0
1994,4.7,54288.0
1995,8.1,9638.0
1998,6.5,222240.0
1999,7.5,183312.0
2001,6.9,88544.0
2002,5.1,3093.0
2008,7.4,557768.0
2012,5.3,842.0
2013,6.7,6380.0
2015,6.9,13858.0
2016,6.1,20129.0
2017,6.4,34158.0
2021,3.1,52604.0
2023,5.3,28459.0
2024,5.4,197222.0
2027,4.7,940.0
2028,6.4,51516.0
2029,5.2,51449.0
2031,6.0,64564.0
2033,7.1,6980.0
2037,6.8,57861.0
2038,8.3,1185424.0
2041,6.4,249928.0
2042,7.3,25541.0
2044,7.3,97366.0
2045,6.6,33765.0
2046,7.4,44184.0
2048,6.5,120279.0
2050,7.2,31002.0
2051,6.3,3340.0
2055,7.4,130755.0
2056,5.3,15383.0
2059,7.8,20642.0
2063,6.0,150442.0
2065,5.7,17113.0
2066,7.2,10268.0
2073,6.7,24339.0
2074,6.3,83.0
2075,7.2,7562.0
2080,6.7,117058.0
2081,6.2,43852.0
2083,6.7,146255.0
2085,8.0,86012.0
2087,7.2,22496.0
2088,7.5,48944.0
2089,6.9,340486.0
2090,7.5,15969.0
2091,6.8,5122.0
2095,5.5,18153.0
2096,6.8,108524.0
2097,8.1,468850.0
2098,6.4,607.0
2101,7.3,11994.0
2108,6.4,24863.0
2109,8.0,905030.0
2110,6.7,115036.0
2112,7.2,1407.0
2113,6.1,89550.0
2115,6.7,6873.0
2117,6.2,9028.0
2118,5.6,6632.0
2119,6.1,7740.0
2120,3.9,6369.0
2121,6.2,8640.0
2122,6.5,9159.0
2123,6.5,11822.0
2124,5.7,9850.0
2125,6.5,324363.0
2127,5.7,10557.0
2130,7.4,9466.0
2131,3.8,30910.0
2133,5.9,37615.0
2134,7.6,18990.0
2135,6.2,1121.0
2136,7.3,44781.0
2137,7.4,26645.0
2138,6.9,2782.0
2142,6.6,3558.0
2143,6.9,54331.0
2145,6.3,4678.0
2146,6.4,40376.0
2148,7.7,59939.0
2150,6.9,112380.0
2151,7.0,43066.0
2152,6.9,40468.0
2153,7.1,4512.0
2154,7.5,63236.0
2156,6.5,196566.0
2158,6.7,34206.0
2159,5.1,18950.0
2160,6.3,113182.0
2161,7.8,17600.0
2162,6.2,3331.0
2163,5.6,3258.0
2164,4.1,2438.0
2165,6.2,3914.0
2166,6.1,22470.0
2167,7.8,1488.0
2172,5.8,17432.0
2176,5.8,1468.0
2177,6.3,176757.0
2179,7.8,186645.0
